Target,beta0,oos,trf_avg,atc,latency,perfect_order,Version
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,1
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,2
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,3
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,4
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,5
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,6
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,7
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,8
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,9
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,10
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,11
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,12
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,13
GMV_cur,-0.576285935,-50.15809713,0.499130219,9.999091636,-19.11939441,201.3240618,14
GMV_cur,-0.5762859352038845,-50.15809712691632,0.4991302194328343,9.999091635811196,-19.119394411356183,201.3240617640412,15
GMV_cur,-106.29512999572398,-619.3130273574704,1.910910869347448,24.84615075155596,0.4922372572041907,-2.4341830124036474,16
GMV_cur,22.90497163548362,-177.06399022027307,1.234346271804669,27.099172001403204,0.4149174027287118,-2.3637034606274114,17
GMV_cur,-110.16708234386232,5.424030790713736,1.9155276291752097,24.844535247041385,0.4922269368903217,-2.338315133531702,18
GMV_cur,-110.16708234386232,5.424030790713736,1.9155276291752097,24.844535247041385,0.4922269368903217,-2.338315133531702,19
GMV_cur,201.31620155774058,1634.584156506806,-42.396069061774746,9.867886486712981,0.03866138843837177,-94.70158626834093,20
